Descripcion;Precio_Venta_Final;IdArticulo;Stock
GLICERINA FLEIBOR  x1litro;13943,23;4207;0,00
MOLDE TORTERA ALUMINIO INDIVIDUAL ALT.11 cm. Nº20 MULTY x1;15981,79;4264;3,00
CREMA PASTELERA KEUKEN LODISER x 500gr. PCPA;8793,39;4273;0,00
AFICHE FELIZ CUMPLE SPIDEY Y SUS AMIGOS x1 C.O;2946,51;4351;4,00
BANDERIN SPIDEY Y SUS AMIGOS x1 C.O;3359,78;4353;0,00
PIÑATA CARTON SPIDEY Y SUS AMIGOS x1 C.O;5645,57;4360;5,00
PLATO SPIDEY Y SUS AMIGOS x8 C.O;3133,51;4361;1,00
PREMEZCLA LEDEVIT PARA BUDIN DE VAINILLA x 500gs;5603,19;4462;0,00
INFLADOR ELECTRICO ANIMAL x1 CL85/U23-251;25168,00;4479;0,00
VINCHA STRASS DELUXE BIRTHDAY GIRL (Cumpleañera ) x1;11760,90;4551;0,00
VINCHA STRASS DELUXE BRIDE TO BE (Futura novia) x1;11760,90;4552;0,00
VINCHA STRASS DELUXE FELIZ CUMPLEAÑOS (varios colores) x1;11760,90;4553;0,00
VINCHA STRASS DELUXE HAPPY BIRTHDAY (varios colores) x1;11760,90;4555;0,00
VINCHA STRASS DELUXE ME RECIBI (varios colores) x1;11760,90;4556;0,00
ADORNO CON BRILLO FELIZ CUMPLEAÑOS SPIDEY Y SUS AMIGOS x1 DESTELLOS;3963,96;4629;0,00
AFICHE FELICIDADES MASHA Y EL OSO x1 C.O;2946,51;4636;0,00
PIÑATA CARTON MASHA Y EL OSO x1 C.O;5645,57;4646;2,00
PLATO MASHA Y EL OSO x8 C.O;3133,51;4647;5,00
STICKERS EN PLANCHA MASHA Y EL OSO (plancha 2 x 12) C.O;1549,91;4649;0,00
VASO DE POLIPAPEL MASHA Y EL OSO x8 C.O;3372,74;4650;4,00
CHIZITOS PEIPO x300grs;6494,06;4667;8,00
CHIZITOS PEIPO x300grs (BULTO x10);46901,51;4668;0,80
FLOR DE AZUCAR DURAZNO MEDIANA MULTICOLOR X 50u.;3360,90;4728;-4,00
GORRA STRASS COLOR x1 MM207-02;27645,31;5053;0,00
VASO POLIPAPEL BLANCO 240 cc x8 ROMI PACK;1597,76;5070;15,00
CHOCOLATE CHOCOLART SEMIAMARGO x500grs. 213/CA500;6670,13;5073;22,50
CHOCOLATE MAPSACUBER CELESTE x3kg (BULTO6x500gr) 5883;47073,88;5152;-0,67
VELA BENGALA  DECORADA LOS AMIGOS DE KITTY (MY MELODY/KUROMI)x4;3458,12;5155;2,75
CHOCOLATE CHOCOLART BLANCO (BULTO8x500grs.) 233/CA500;53361,00;5227;1,94
CHOCOLATE CHOCOLART BLANCO x500grs. 233/CA500;6670,13;5228;15,50
CAÑON REVELACION DE GENERO ROSA/CELESTE x1;4445,39;5236;8,00
BOWL PLASTICO BLANCO PARA CHOCOLATE 28cm x1;6024,76;5272;13,00
BOWL PLASTICO CRISTAL PARA CHOCOLATE 28cm x1;6024,76;5273;9,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº0  x1;1672,49;5299;6,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº1 x1;1672,49;5300;2,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº2  x1;1672,49;5301;5,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº3  x1;1672,49;5302;7,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº4  x1;1672,49;5303;3,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº5  x1;1672,49;5304;6,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº6 x1;1672,49;5305;6,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº7  x1;1672,49;5306;4,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº8  x1;1672,49;5307;5,00
VELA NUMEROTE BLISTER CON GIBRE FUTBOL BOSTERO Nº9  x1;1672,49;5308;6,00
SERVILLETA COUNTRY LISA DOBLADITAS AMARILLA 33x33 x20u.8;2301,86;5329;17,00
SERVILLETA COUNTRY LISA DOBLADITAS AZUL 33x33 x20u.;2301,86;5330;10,00
SERVILLETA COUNTRY LISA DOBLADITAS CELESTE 33x33 x20u.;2301,86;5331;10,00
SERVILLETA COUNTRY LISA DOBLADITAS NARANJA/SALMON 33x33 x20u.;2301,86;5332;21,00
SERVILLETA COUNTRY LISA DOBLADITAS NEGRA 33x33 x20u.;2301,86;5333;8,00
SERVILLETA COUNTRY LISA DOBLADITAS ROJA 33x33 x20u.;2301,86;5334;0,00
SERVILLETA COUNTRY LISA DOBLADITAS ROSA 33x33 x20u.;2301,86;5335;1,00
SERVILLETA COUNTRY LISA DOBLADITAS VIOLETA 33x33 x20u.;2301,86;5336;26,00
ADORNO PINCHE SET BABY SHOWER CELESTE CALUMI x3u.;2666,84;5340;0,00
BOWL PLASTICO NEGRO PARA CHOCOLATE APTO MICROONDAS x1;6024,76;5363;15,00
VINCHA STRASS DELUXE MOM TO BE (futura mama) x1;12452,72;5375;2,00
GUANTES DE TELA BLANCO CORTO x1 PAR;3421,56;5428;56,00
DISFRAZ OFICIAL ECONOMICO ELSA T2 x1 8223;37217,88;5431;0,00
GUANTES DE ENCAJE BLANCO x1 PARTY STORE AC622/03931;5430,63;5446;0,00
GUANTES DE ENCAJE NEGRO x1 PARTY STORE AC623/03933;5430,63;5447;0,00
SERVILLETA COUNTRY LISA DOBLADITAS VERDE 33x33 x20u.;2301,86;5546;17,00
ANIMALITO GLASE PARA HUEVO CARA CONEJO BLANCO Y CELESTE x6;4342,57;5558;0,00
GALLETITAS CHOCOLINAS x250 grs.(BULTO 25x250grs.)  14323;66714,43;5563;0,24
CAJA MULTIUSO CON VISOR RECTANGULAR CMRV001(25x16x11cm) x25 MEDORO;24077,53;5585;1,60
BARRITA DE CARAMELO CABLE FRUTILLA ACIDA BULL DOG (12un x18gr) x1 378550;5203,95;5588;3,84
SERVILLETA UNICORNIO VINTAGE x20und;2634,51;5617;0,00
CAJA MULTIUSO CUADRADA MEDIANA (25 x25 x10cm) x25 (M21) MEDORO;25995,45;5648;2,16
ADORNO CON BASE FELIZ CUMPLEAÑOS KUROMI Y MELODY x1 u.CREACIONES PAU;4026,53;5652;0,00
ADORNO CON BASE FELIZ CUMPLEAÑOS POKEMON x1 u.CREACIONES PAU;4026,53;5653;1,00
BOCADITO FEL-FORT MARROC x20un 0612;20755,08;5656;1,00
GORRO COWBOY TORNASOLADO CON LUZ x1  DA91A;14807,20;5688;1,00
ANTEOJO CON LUZ MODELOS SURTIDO x12 DA369D;25247,38;5740;1,17
APLIQUE MARIPOSA ESTAMPADA CALADA 3D PARA TORTAS ADHESIVA x12;1094,32;5765;1,00
PIÑATA CARTON MARIPOSAS GLAM CON STAMPING x1 GM 9413;3240,47;5773;2,00
ADORNO CON BASE FELIZ CUMPLEAÑOS MINECRAFTx1 u.CREACIONES PAU;4026,53;5899;0,00
STICKERS EN PLANCHA JURASSIC WORLD (plancha 2 x 12) C.O;1549,91;5913;8,00
TIMER DIGITAL TEMPORIZADOR COLOR x1 B0950;3635,80;5969;0,00
CORTANTE MARCADOR PLASTICO 3D CONTORNO MARIPOSA x1 DESING (26);1070,87;6135;1,00
CORTANTE MARCADOR PLASTICO 3D SET MARIPOSA x4 DESIGN (86-1);2192,11;6138;6,00
LADRILLOS MOGUL EXTREME FRUTILLA x500gr 1014164;10130,72;6190;0,00
ADORNO PINCHE SET FELIZ CUMPLE MARIPOSAS GLAM CALUMI x3u.;2666,84;6253;8,00
ADORNO PINCHE SET FELIZ CUMPLE MINECRAFT CALUMI x3u.;2666,84;6254;2,00
ADORNO PINCHE SET FELIZ CUMPLE STITCH CALUMI x3u.;2666,84;6255;3,00
AFICHE FELICIDADES LA SIRENITA ARIEL  x1;2946,51;6293;1,00
MALVAVISCO MINI GONGYS  MULTICOLOR (BULTO 12x200grs) 78598;35503,87;6295;2,25
LIMPIAPIPA COMUN MULTICOLOR 30CM.X 100 UNIDADES C.B.X.;3554,50;6342;7,14
AZUCAR DEWEY FRACCIONADA TALCO x10 kg;51009,90;10200006;2,80
MARCADOR PARPEN DE HOJAS S5;3409,88;10200007;1,00
NUEZ MARIPOSA xKG.;26832,96;10200013;-1,30
CASTAÑAS DE CAJU P2 xKG;18474,89;10200015;-0,60
GLUCOSA CIOTTI x170grs;2648,12;10200026;2,00
GRANELLA  x1KG;8357,23;10200027;0,00
MANI CROCANTE SIMOAR xkg.;8423,54;10200031;6,20
MOLDE CHARLOTTE ALUMINIO GRANDE 32x11cm x1;20289,03;10200064;2,00
CORNETA FUELLE SIMPLE FLUO Varios colores 40cm;2853,18;10200065;4,00
PULSERA DE GOMA CON BRILLO x10;1800,04;10200079;14,00
MOLDE HOJALATA PAN LACTAL CHICO 26x9x10cm x1;19485,30;10200093;0,00
GLUCOSA CIOTTI x1KG.;8227,26;10200098;1,00
MOLDE HOJALATA REDONDO ALTURA 10 20cm x1;18732,53;10200102;-3,00
DISFRAZ CABALLERO CROSTIx1 04 T1;25727,63;10200108;6,00
ZUNCHOSxkg 70cm;3312,09;10200129;-0,10
TENEDOR BOMBON x2;6323,79;10200131;3,00
GORRO GRANADERO CREEPx6 (LP04);22647,13;10200134;3,34
AROS DE HOJALATA Nº14 516;9588,47;10200138;3,00
AROS DE HOJALATA Nº24 523;12886,75;10200140;2,00
AROS DE HOJALATA Nº26 524;14889,11;10200146;10,00
MANGA TELA N60 x1;3818,84;10200151;5,00
AROS DE HOJALATA Nº16 517;9588,47;10200154;2,00
AROS DE HOJALATA Nº12 515;9588,47;10200156;5,00
AROS DE HOJALATA Nº18 518;10297,52;10200159;3,00
AROS DE HOJALATA Nº20 521;11921,58;10200160;0,00
MOLDE HOJALATA REDONDO ALTURA 10 22cm x1;19820,66;10200180;1,00
MOLDE HOJALATA REDONDO ALTURA 10 26cm x1;25156,70;10200181;-2,00
ARMADOR FLORES PARPEN S1;1953,75;10200222;2,00
SET MARINERO ECHYZOS x1 (boina,pechera);7400,84;10200227;3,00
PONCHO VENDEDOR CROSTIx1 23;10585,08;10200229;14,00
DELANTAL CON PAÑUELO PAISANA CROSTIx1 (25);8085,83;10200231;10,00
DELANTAL CON PAÑUELO NEGRITA CROSTIx1 (25);8085,83;10200234;17,00
PULSERA CON BRILLO  PATRIMAR x36;3092,91;10200235;9,00
DINOSAURIO PATRIMAR x12;5786,12;10200240;0,00
PLACA HOJALATA VAINILLA PARA 12 UNI. 32x25cm. x1;23966,39;10200241;3,00
PIONONERA HOJALATA N4 34x24cm;20446,74;10200242;1,00
PIONONERA HOJALATA N5 38x30cm;22916,01;10200243;2,00
MANGA TELA N50 x1;2836,50;10200248;4,00
BOMBACHA PARA GAUCHO CROSTI 18 T1;8820,90;10200249;3,00
RAVIOLISTO CURVO x48 099;9951,48;10200252;0,00
REJILLA POSA TORTA ALAMBRE 22x28;8064,63;10200255;0,00
MANGA FORRADA CON NYLON N60;6393,16;10200273;5,00
MOLDE ALUMINIO PELOTA CON GAJOS x1;10640,95;10200275;3,00
MOLDE ALUMINIO POLLERA CHICA x1;3688,85;10200277;-2,00
MOLDE ALUMINIO POLLERA GRANDE x1;7977,16;10200278;0,00
PIONONERA HOJALATA N6 42x32cm;26614,91;10200291;1,00
PICO PARA RELLENAR CHURROS 15cm x1;5678,53;10200305;5,00
VASO MEDIDOR CON RELIEVE x1;5164,20;10200317;4,00
MANGA FORRADA CON NYLON N50;5434,18;10200361;4,00
AROS DE HOJALATA Nº22 522;11878,35;10200377;4,00
